question,answer
So I Have Thought of You: The Letters of Penelope Fitzgerald,"""Until a biography of this genius comes along, we have these letters, so ironic, idiosyncratic, and beautiful.""&#160;&#151;GuardianBook of the Year""Self-deprecating, wry . . . the novelist's comic brio is wonderfully on show.""&#160;&#151;Sunday Times""Among the most illuminating, moving collections of letters that I have ever read. The writing glows with love and wit [and] intellectual passion.""&#160;&#151;Financial Times""Fitzgerald's letters, full of gaiety and exuberance, have been assiduously rounded up by her son-in-law from cupboards and attics. The pleasure of other people's mail is the trivia and Fitzgerald doesn't disappoint in this department. This book is crammed with domestic detail and reflections on food and drink, taxes and laws, seasons and landscapes.""&#160;&#151;Sunday Express""Characteristically short, exquisitely constructed, and saying something extremely important, but something subtle and under-celebrated about the human condition as well! The letters are exciting for what they contribute towards the understanding of Fitzgerald's imagination.""&#160;&#151;Times Literary Supplement"
The History of Middle-Earth Index,"J.R.R.Tolkien (1892-1973) was a distinguished academic, though he is best known for writing The Hobbit, The Lord of the Rings and The Silmarillion, plus other stories and essays. His books have been translated into over 30 languages and have sold many millions of copies worldwide"
And Then There Were None (Agatha Christie Collection),"Considered the best mystery novel ever written by many readers,And Then There Were Noneis the story of 10 strangers, each lured to Indian Island by a mysterious host. Once his guests have arrived, the host accuses each person of murder. Unable to leave the island, the guests begin to share their darkest secrets--until they begin to die.--This text refers to an out of print or unavailable edition of this title."
Clouds Among the Stars,"Praise for Victoria Clayton and her novels:  'A sharp-eyed social comedy to curl up with.' Woman and Home  'A high-class romantic production.' Marie Claire  'Victoria Clayton is unafraid to take a story by the scruff of the neck.' Independent  'Victoria Clayton has a glinting wit and intelligence.' Mail on Sunday  'Delightful humour which overlays a beady observation and perception.' Mail on Sunday  'The charm and vivacity with which the author presents her scenario and the precision with which she describes character and setting make this a very enjoyable read. Social comedy is a difficult thing to do, but Clayton shows herself an adept practitioner.' Times"
Hostile Contact,"'Kent knows his subject at first hand and the expertise shows on the page: high stakes, pounding tension and the best dogfights put on paper. A lot of thrillers these days, you come away feeling like you've been in a simulator. Gordon Kent straps you into the real thing. Enjoy the ride!' IAN RANKIN, on Night Trap 'Flying, spying and dying - Night Trap is the real straight Navy stuff. Better strap yourself to the chair. I loved it.' STEPHEN COONTS 'Tom Clancy used to have the high-tech military thriller stakes all to himself but now Gordon Kent has entered the field, and how. Non-stop ... a smoking gun of a story.' Northern Echo, on Peacemaker 'Told with all the authority of inside knowledge ... an absorbing tale of international skulduggery.' Irish News, on Peacemaker 'Consistently excellent ... loaded with gunfights, snappy dialogue and the aerial hijinks of supersonic jet fighters. The high testosterone doses satisfy, but best is the complex and clever web of motive Kent weaves for the mole.' Publishers Weekly, on Top Hook"
Egyptian Birth Signs: The Secrets of the Ancient Egyptian Horoscope,"Storm Constantine is one of the UK's foremost fantasy novelists, a practising pagan, and author of nine novels."
Pastels: Collins Painting Workshop,Jackie Simmonds is a well-known pastel artist and an excellent teacher and communicator. She writes regularly for The Artist magazine and runs very popular and successful workshops and painting holidays.
The Meditator's Handbook: A Comprehensive Guide to Eastern and Western Meditation Techniques,"'Dr. Fontana's sincerity, enormous depth of both scholarship and practice of meditation all combine to make this book a beautiful companion for meditators at any stage of their spiritual journey.' Dr. Michael West, author of The Psychology of Meditation"
The Tribes Triumphant: Return Journey to the Middle East,"'Fascinating...intriguing...Glass is skilled at bringing people alive...an important book.' Sunday Times 'Charles Glass reads like Taki with an explosives belt. Yet this attention to social form becomes a strength when it shows how a generation of insult by both British and Israeli occupiers has brought a traditional Arab society to the end of its tether...Even the ruling passions of Glass's life and writing, which are good food and pretty women, contribute balance to the book.' Spectator 'He writes stylishly...the most absorbing passages in the book trace Glass's progress through Israel and the Palestinian territories of the West Bank and Gaza...Glass enlivens his text with some intriguing asides.' Daily Mail 'Anyone who is interested in the continuing agony of the Middle East should read this book.' Literary Review 'An eloquent and sensitive journey...with trademark flowing style and laconic humour.' Oldie"
"C. S. Lewis Essay Collection: Faith, Christianity and the Church","Clive Staples Lewis (1898-1963) was one of the intellectual giants of the twentieth century. He was a Fellow and Tutor in English literature at Oxford University until 1954 when he was unanimously elected to the Chair of Medieval and Renaissance English at Cambridge University, a position he held until his retirement. His major contributions in literary criticism, children's literature, fantasy literature and popular theology brought him international renown and acclaim. He wrote more than thirty books, allowing him to reach a vast audience and his works continue to attract thousands of new readers every year."
Till the Sun Shines Through,'[Anne Bennett is] blessed with a vivid imagination and a natural aptitude for writing' Daily Post 'The beauty of Anne's books is that they are about normal people and are sewn through with human emotions wich affect us all' Birmingham Post
The Blue Geranium: Complete &amp; Unabridged (The Agatha Christie collection: Marple),"Agatha Christie is known throughout the world as the Queen of Crime. Her books have sold over a billion copies in English with another billion in over 70 foreign languages. She is the most widely published author of all time and in any language, outsold only by the Bible and Shakespeare. She is the author of 80 crime novels and short story collections, 20 plays, and six novels written under the name of Mary Westmacott."
